Global Index,EyeCon,Familiar,DevScore,OS,SS,OSg,SSg,OSf,SSf
0,false,true,78,2,2,1,2,2,0
1,false,true,204,1,1,0,1,2,1
2,true,true,40,1,2,2,3,0,1
3,true,true,53,2,0,1,0,1,0
4,false,true,35,0,0,0,0,1,1
5,false,true,34,2,1,0,1,2,1
6,true,true,18,1,1,0,1,1,1
7,true,true,69,0,0,0,0,1,0
8,false,false,51,1,0,1,1,1,0
9,false,false,90,0,0,0,0,1,0
10,true,false,44,0,0,0,0,0,0
11,true,false,104,0,1,0,3,0,0
12,false,false,41,0,0,0,0,0,2
13,false,false,99,0,2,0,1,0,1
14,true,false,20,1,1,1,0,0,1
15,true,false,19,2,0,1,0,1,1
16,false,true,105,0,0,0,0,0,0
17,false,true,114,0,0,0,0,0,0
18,true,true,56,0,0,0,1,0,0
19,true,true,45,0,0,0,0,0,0
20,false,true,139,1,1,1,3,0,1
21,false,true,99,0,1,0,1,0,0
22,true,true,55,0,1,1,1,1,0
23,true,true,42,0,2,0,2,0,2
24,false,false,74,1,2,1,2,1,0
25,false,false,83,1,3,1,4,0,0
26,true,false,75,0,0,2,0,1,1
27,true,false,45,0,0,1,0,0,0
28,false,false,21,2,0,2,1,3,1
29,false,false,37,0,0,0,0,0,0
30,true,false,28,0,0,0,0,0,1
31,true,false,20,0,1,0,3,0,0
32,false,true,64,0,0,1,0,1,0
33,false,true,201,0,1,0,1,1,0
34,true,true,29,0,0,0,0,1,1
35,true,true,90,0,1,1,3,0,0
36,false,true,17,2,1,1,1,2,0
37,false,true,65,6,2,4,4,3,2
38,true,true,108,2,1,1,1,1,0
39,true,true,28,1,0,0,0,1,0
40,false,false,83,0,1,0,1,0,1
41,false,false,56,0,0,0,0,0,0
42,true,false,161,0,1,0,0,0,2
43,true,false,108,0,1,0,2,1,0
44,false,false,178,0,0,1,0,0,1
45,false,false,52,2,0,1,0,1,0
46,true,false,52,0,1,0,3,3,0
47,true,false,145,2,0,1,0,1,0
48,false,true,157,0,0,0,0,0,0
49,false,true,56,1,0,0,0,1,1
50,true,true,104,0,1,0,1,1,1
51,true,true,35,1,0,1,0,0,0
52,false,true,34,0,0,0,1,0,0
53,false,true,26,1,3,1,3,0,0
54,true,true,48,1,0,1,2,1,0
55,true,true,53,1,0,1,0,0,1
56,false,false,25,0,0,0,0,0,1
57,false,false,112,0,0,0,1,0,0
58,true,false,54,0,0,0,0,0,0
59,true,false,76,0,0,2,1,0,0
60,false,false,40,0,0,0,0,1,0
61,false,false,62,0,0,0,0,0,0
62,true,false,47,0,0,1,0,0,1
63,true,false,49,0,0,0,0,0,0
64,true,true,135,0,0,0,0,0,0
65,true,true,227,2,3,2,1,1,2
66,false,true,74,1,0,0,0,1,0
67,false,true,152,0,0,0,0,0,0
68,true,true,105,3,1,1,1,3,1
69,true,true,53,2,0,1,0,1,0
70,false,true,104,0,1,0,1,0,0
71,false,true,85,1,1,0,1,1,0
72,true,false,120,0,1,0,1,0,0
73,true,false,97,0,2,0,2,0,0
74,false,false,105,0,1,0,1,0,0
75,false,false,142,2,3,3,3,1,1
76,true,false,66,0,0,1,1,0,0
77,true,false,89,0,0,0,0,1,0
78,false,false,28,0,1,0,0,0,1
79,false,false,58,0,1,1,1,0,0
80,true,true,140,2,0,1,0,1,0
81,true,true,191,0,0,0,1,0,3
82,false,true,28,0,1,0,1,0,1
83,false,true,154,0,1,1,0,0,2
84,true,true,20,0,0,0,1,0,0
85,true,true,89,0,1,1,0,0,2
86,false,true,57,0,0,0,0,1,0
87,false,true,37,1,1,0,1,2,0
88,true,false,204,1,1,0,0,1,1
89,true,false,117,1,1,0,1,1,0
90,false,false,11,1,2,1,3,0,0
91,false,false,73,0,0,0,0,0,0
92,true,false,26,0,0,0,0,0,0
93,true,false,49,0,0,1,0,0,1
94,false,false,43,0,0,0,0,0,0
95,false,false,30,1,0,1,0,1,0
96,true,true,146,0,1,0,1,0,0
97,true,true,187,2,2,2,3,1,1
98,false,true,66,1,0,0,0,1,0
99,false,true,4,0,1,0,1,0,0
100,true,true,28,2,0,1,1,1,1
101,true,true,38,2,2,1,1,1,2
102,false,true,154,3,1,3,1,0,0
103,false,true,102,0,0,0,0,0,0
104,true,false,38,0,0,0,0,0,0
105,true,false,81,0,1,0,1,0,0
106,false,false,97,1,0,1,0,2,0
107,false,false,35,0,0,1,0,0,1
108,true,false,60,0,1,1,1,1,0
109,true,false,32,0,0,0,0,1,0
110,false,false,54,0,0,0,0,0,0
111,false,false,67,0,1,0,1,0,0
112,true,true,86,2,1,1,1,1,0
113,true,true,7,0,0,0,0,0,0
114,false,true,27,0,0,0,0,0,0
115,false,true,57,0,1,0,0,0,1
116,true,true,24,0,1,0,1,0,0
117,true,true,7,1,1,1,2,0,0
118,false,true,27,0,1,0,1,0,0
119,false,true,38,0,2,0,3,0,0
120,true,false,37,2,1,3,2,1,0
121,true,false,135,2,2,0,3,2,0
122,false,false,11,0,0,0,0,0,0
123,false,false,54,2,1,0,2,2,0
124,true,false,25,0,0,1,0,1,0
125,true,false,47,0,0,0,0,1,0
126,false,false,43,1,1,1,2,0,1
127,false,false,19,0,0,1,1,0,0
