Global Index,vs. Reality,EyeCon,Familiar,DevScore,OS,SS,OSg,SSg,OSf,SSf
0,1,false,true,78,0.01589718,0.08674766,0.10735738,0.08674766,0.01589718,0.06372922
0,2,false,true,78,0.10735738,0.41528097,0.05687339,0.41528097,0.6549171,0.060692996
0,3,false,true,78,0.6549171,0.06372922,0.6877135,0.07310958,0.077943936,0.16500533
0,4,false,true,78,0.05687339,0.07310958,0.5329896,0.048466776,0.13016939,0.075133815
0,5,false,true,78,0.6877135,0.048466776,0.14331174,0.026193656,0.6952894,0.075133815
0,6,false,true,78,0.077943936,0.060692996,0.021200508,0.09719685,0.118204705,0.23585208
0,7,false,true,78,0.5329896,0.026193656,0.24301505,0.5566461,0.053040948,0.23585208
0,8,false,true,78,0.14331174,0.09719685,0.2237007,0.23537818,0.08258936,0.99999994
0,9,false,true,78,0.13016939,0.16500533,0.18159512,0.8343457,0.047806088,0.23585208
0,10,false,true,78,0.021200508,0.5566461,0.39000982,0.25668472,0.067317896,0.23585208
1,1,false,true,204,0.11199196,0.077055685,0.22138946,0.077055685,0.11199196,0.20722578
1,2,false,true,204,0.22138946,0.077055685,0.09764867,0.077055685,0.03438043,0.5508155
1,3,false,true,204,0.03438043,0.046249367,0.13409665,0.046249367,0.13409665,0.13409665
1,4,false,true,204,0.09764867,0.09846616,0.5044044,0.09846616,0.1131362,0.074790046
1,5,false,true,204,0.13409665,0.20722578,0.20662048,0.18299353,0.37889206,0.069223054
1,6,false,true,204,0.13409665,0.18299353,0.090096965,0.99999994,0.054021854,0.13442412
1,7,false,true,204,0.5044044,0.5508155,0.06195382,0.1131362,0.1664876,0.11830793
1,8,false,true,204,0.1131362,0.99999994,0.29420823,0.24274966,0.013426693,0.037557513
1,9,false,true,204,0.37889206,0.1131362,0.06479542,0.07476567,0.53417027,0.06999209
1,10,false,true,204,0.20662048,0.13409665,0.21122788,0.1001292,0.062264666,0.06999209
2,1,true,true,40,0.09489176,0.02787721,0.43677822,0.02787721,0.09489176,0.164565
2,2,true,true,40,0.43677822,0.014780352,0.21312967,0.014780352,0.41880155,0.17760874
2,3,true,true,40,0.21312967,0.30924606,0.047794953,0.30924606,0.1429917,0.088704735
2,4,true,true,40,0.047794953,0.06335513,0.29305953,0.06335513,0.5400928,-0.008982342
2,5,true,true,40,0.41880155,0.164565,0.4932695,0.10044294,0.6158167,0.1527462
2,6,true,true,40,0.29305953,0.10044294,0.06810081,0.10876476,0.22890583,0.35367596
2,7,true,true,40,0.4932695,0.10876476,0.20040186,0.4077377,0.5983355,0.09629064
2,8,true,true,40,0.1429917,0.17760874,0.7091223,0.030126598,0.16235112,0.41953757
2,9,true,true,40,0.06810081,0.4077377,0.18406114,0.057139017,0.39588994,0.747444
2,10,true,true,40,0.5400928,0.088704735,0.0017019399,0.1092707,0.89845526,0.09503632
3,1,true,true,53,0.3897422,0.084851325,0.08286519,0.084851325,0.3897422,0.107376985
3,2,true,true,53,0.08286519,0.12138462,0.08557004,0.12138462,0.35655296,0.24322018
3,3,true,true,53,0.35655296,0.107376985,0.13337347,0.071729094,0.098546565,0.17921434
3,4,true,true,53,0.08557004,0.071729094,0.04511207,0.4815974,0.45103914,0.1627386
3,5,true,true,53,0.098546565,0.24322018,0.31396726,0.52808905,0.03929694,0.24001643
3,6,true,true,53,0.13337347,0.4815974,0.07316597,0.24538052,0.0738468,0.19674253
3,7,true,true,53,0.45103914,0.17921434,0.13519043,0.22004776,0.15715322,0.15638044
3,8,true,true,53,0.03929694,0.1627386,0.6079523,0.4724666,0.20732889,0.6079523
3,9,true,true,53,0.04511207,0.52808905,0.55007756,0.34219992,1.0,0.22081405
