Global Index,vs. Reality,EyeCon,Familiar,DevScore,OS,SS,OSg,SSg,OSf,SSf
0,1,false,true,78,0.10952133,0.11162852,0.10725362,0.11162852,0.10952133,0.11153471
0,2,false,true,78,0.10725362,0.33048594,0.18327028,0.33048594,0.5719224,0.12519784
0,3,false,true,78,0.5719224,0.11153471,0.49715725,0.106343865,0.14218816,0.2702053
0,4,false,true,78,0.18327028,0.106343865,0.6940003,0.089389816,0.051041257,0.106416255
0,5,false,true,78,0.49715725,0.089389816,0.23752283,0.11139769,0.7363502,0.106416255
0,6,false,true,78,0.14218816,0.12519784,0.08195183,0.16641472,-0.037246045,0.28593102
0,7,false,true,78,0.6940003,0.11139769,0.38362125,0.4660681,0.17746043,0.28593102
0,8,false,true,78,0.23752283,0.16641472,0.3681776,0.35253465,0.038872413,1.0000001
0,9,false,true,78,0.051041257,0.2702053,0.2606405,0.88949764,-0.011669919,0.28593102
0,10,false,true,78,0.08195183,0.4660681,0.35617983,0.19735065,0.12195162,0.28593102
1,1,false,true,204,0.18542281,0.12406437,0.26648092,0.12406437,0.18542281,0.31375805
1,2,false,true,204,0.26648092,0.12406437,0.14502724,0.12406437,0.05707117,0.41693038
1,3,false,true,204,0.05707117,0.14901434,0.14845416,0.14901434,0.14845416,0.14845416
1,4,false,true,204,0.14502724,0.07797243,0.35863045,0.07797243,0.07714857,0.1227917
1,5,false,true,204,0.14845416,0.31375805,0.57291204,0.34592822,0.25604197,0.08063436
1,6,false,true,204,0.14845416,0.34592822,0.10267542,1.0000001,0.15353617,0.34803718
1,7,false,true,204,0.35863045,0.41693038,0.18270034,0.07714857,0.5108377,0.058191374
1,8,false,true,204,0.07714857,1.0000001,0.3961252,0.22328618,0.00092522986,0.13503583
1,9,false,true,204,0.25604197,0.07714857,0.10998257,0.11557836,0.44674337,0.16478983
1,10,false,true,204,0.57291204,0.14845416,0.20056285,0.082873225,0.0039440393,0.16478983
2,1,true,true,40,0.13622844,0.13125604,0.43335354,0.13125604,0.13622844,0.23963994
2,2,true,true,40,0.43335354,0.030125547,0.3596684,0.030125547,0.53398657,0.18388654
2,3,true,true,40,0.3596684,0.44519266,0.13503005,0.44519266,0.15244707,0.14216939
2,4,true,true,40,0.13503005,0.12298154,0.2631384,0.12298154,0.6030663,0.086052924
2,5,true,true,40,0.53398657,0.23963994,0.6349592,0.1177659,0.5622035,0.06867297
2,6,true,true,40,0.2631384,0.1177659,0.05188184,0.1560178,0.13636124,0.36427927
2,7,true,true,40,0.6349592,0.1560178,0.185173,0.38146222,0.674756,0.1158163
2,8,true,true,40,0.15244707,0.18388654,0.8054352,0.026839677,0.22457768,0.49217355
2,9,true,true,40,0.05188184,0.38146222,0.23404078,0.14886999,0.5072558,0.7210356
2,10,true,true,40,0.6030663,0.14216939,0.048967455,0.1624673,0.9008956,0.12643713
3,1,true,true,53,0.48063615,0.06388452,0.109450035,0.06388452,0.48063615,0.14492081
3,2,true,true,53,0.109450035,0.12954123,0.123962045,0.12954123,0.44456857,0.2984598
3,3,true,true,53,0.44456857,0.14492081,0.09628169,0.1182816,0.09444346,0.17803147
3,4,true,true,53,0.123962045,0.1182816,0.09618059,0.38461995,0.5108904,0.21351148
3,5,true,true,53,0.09444346,0.2984598,0.3701147,0.5100925,0.12161115,0.3582985
3,6,true,true,53,0.09628169,0.38461995,0.13518381,0.1645852,0.11689832,0.13098049
3,7,true,true,53,0.5108904,0.17803147,0.13782242,0.09146814,0.07439351,0.1861667
3,8,true,true,53,0.12161115,0.21351148,0.75982517,0.29784662,0.16386464,0.75982517
3,9,true,true,53,0.09618059,0.5100925,0.4090978,0.18348813,1.0000001,0.24532188
3,10,true,true,53,0.11689832,0.3582985,0.41701937,0.4090978,0.12739071,1.0
4,1,false,true,35,0.23840941,0.17097649,0.14312601,0.17097649,0.23840941,0.2699715
4,2,false,true,35,0.14312601,0.22039212,0.42989278,0.22039212,0.21054576,0.47844654
4,3,false,true,35,0.21054576,0.2699715,0.33867788,0.20516081,1.0,0.33446825
4,4,false,true,35,0.42989278,0.20516081,0.12489024,0.44519266,0.16648254,0.08205241
4,5,false,true,35,0.33867788,0.44519266,0.47844654,0.12917162,0.068269745,0.30716643
4,6,false,true,35,0.12489024,0.12917162,0.47189888,0.13549003,0.35090148,0.03930847
4,7,false,true,35,0.47844654,0.13549003,0.22085822,0.47189888,0.18908669,0.07533978
4,8,false,true,35,1.0,0.47844654,0.9636609,0.14529842,0.1637736,0.13511854
4,9,false,true,35,0.47189888,0.47189888,1.0,0.073618725,0.2136249,0.21055889
4,10,false,true,35,0.22085822,0.14529842,0.09120347,0.35090148,0.23845635,0.15757139
5,1,false,true,34,0.13526155,0.14529958,0.13771561,0.14529958,0.13526155,0.54425216
5,2,false,true,34,0.12627031,0.54425216,0.18336901,0.5285256,0.12627031,0.32299268
5,3,false,true,34,0.13771561,0.5285256,0.24120557,0.15025458,0.032119393,0.16271311
5,4,false,true,34,0.032119393,0.32299268,0.19199286,0.653551,0.40566674,0.08582498
5,5,false,true,34,0.18336901,0.15025458,0.15835537,0.056814983,0.12000569,0.028677369
5,6,false,true,34,0.40566674,0.16271311,0.2044515,0.21668762,0.21090232,0.24084625
5,7,false,true,34,0.24120557,0.653551,0.24084625,0.1957543,1.0000001,0.27502072
5,8,false,true,34,0.19199286,0.056814983,0.1713464,0.2896222,0.3582985,0.24356616
5,9,false,true,34,0.15835537,0.21668762,1.0000001,0.1713464,0.20346498,0.24356616
5,10,false,true,34,0.2044515,0.1957543,0.24912141,0.20346498,0.09933352,0.077757515
6,1,true,true,18,0.14062473,0.13466693,0.28593102,0.13466693,0.14062473,1.0000001
