Global Index,vs. Reality,EyeCon,Familiar,DevScore,OS,SS,OSg,SSg,OSf,SSf
0,1,false,true,78,0.06590146,0.100018606,0.10059449,0.100018606,0.06590146,0.099434346
0,2,false,true,78,0.10059449,0.4273104,0.14018604,0.4273104,0.45186803,0.103542246
0,3,false,true,78,0.45186803,0.099434346,0.3463155,0.11184332,0.13467515,0.20225447
0,4,false,true,78,0.14018604,0.11184332,0.624123,0.09284825,0.19044852,0.069072336
0,5,false,true,78,0.3463155,0.09284825,0.13275287,0.08276859,0.7174499,0.069072336
0,6,false,true,78,0.13467515,0.103542246,0.12574062,0.13383152,0.1699323,0.2506319
0,7,false,true,78,0.624123,0.08276859,0.2212935,0.42105314,0.15846787,0.2506319
0,8,false,true,78,0.13275287,0.13383152,0.22466365,0.23886013,0.19164439,1.0000001
0,9,false,true,78,0.19044852,0.20225447,0.15626048,0.8939291,0.12990879,0.2506319
0,10,false,true,78,0.12574062,0.42105314,0.29193798,0.16309987,0.087775595,0.2506319
1,1,false,true,204,0.117230535,0.10821112,0.32951385,0.10821112,0.117230535,0.23548314
1,2,false,true,204,0.32951385,0.10821112,0.14641586,0.10821112,0.104795724,0.5273262
1,3,false,true,204,0.104795724,0.099236876,0.1677089,0.099236876,0.1677089,0.1677089
1,4,false,true,204,0.14641586,0.09678878,0.3037604,0.09678878,0.0960729,0.072983176
1,5,false,true,204,0.1677089,0.23548314,0.39998466,0.21918719,0.3188783,0.050620254
1,6,false,true,204,0.1677089,0.21918719,0.14184229,1.0000001,0.13960065,0.14916551
1,7,false,true,204,0.3037604,0.5273262,0.21084277,0.0960729,0.2084759,0.14806128
1,8,false,true,204,0.0960729,1.0000001,0.14742324,0.18831116,0.031164804,0.055916067
1,9,false,true,204,0.3188783,0.0960729,0.058015008,0.14531513,0.15582246,0.03300462
1,10,false,true,204,0.39998466,0.1677089,0.13239673,0.11594699,0.09892954,0.03300462
2,1,true,true,40,0.15162176,0.14830256,0.38227966,0.14830256,0.15162176,0.14583737
2,2,true,true,40,0.38227966,0.124301314,0.27598867,0.124301314,0.5191868,0.12690893
2,3,true,true,40,0.27598867,0.2619191,0.09675789,0.2619191,0.119813964,0.15215416
2,4,true,true,40,0.09675789,0.08288312,0.24587789,0.08288312,0.42738098,0.063826494
2,5,true,true,40,0.5191868,0.14583737,0.53096783,0.024103578,0.562096,0.13133225
2,6,true,true,40,0.24587789,0.024103578,0.11554107,0.08301442,0.1474651,0.38271743
2,7,true,true,40,0.53096783,0.08301442,0.309242,0.44482186,0.53634524,0.12307197
2,8,true,true,40,0.119813964,0.12690893,0.7109947,0.11046248,0.1256324,0.5375018
2,9,true,true,40,0.11554107,0.44482186,0.1009419,0.14094758,0.5217298,0.7583381
2,10,true,true,40,0.42738098,0.15215416,0.046778355,0.09546365,0.8193616,0.066671476
3,1,true,true,53,0.41164947,0.119571835,0.116087876,0.119571835,0.41164947,0.12972118
3,2,true,true,53,0.116087876,0.15285066,0.11652656,0.15285066,0.36732125,0.28093904
3,3,true,true,53,0.36732125,0.12972118,0.16817375,0.120297156,0.13023567,0.17060086
3,4,true,true,53,0.11652656,0.120297156,0.13642673,0.3595011,0.312797,0.19825871
3,5,true,true,53,0.13023567,0.28093904,0.19552776,0.57056636,0.080043875,0.31650925
3,6,true,true,53,0.16817375,0.3595011,0.14045,0.1546614,0.14956483,0.18831697
3,7,true,true,53,0.312797,0.17060086,0.18696205,0.16758347,0.15182254,0.22188294
3,8,true,true,53,0.080043875,0.19825871,0.57410395,0.40772176,0.1590021,0.57410395
3,9,true,true,53,0.13642673,0.57056636,0.50674635,0.37495092,1.0000002,0.18301252
3,10,true,true,53,0.14956483,0.31650925,0.46218747,0.50674635,0.15490538,1.0000002
4,1,false,true,35,0.16408,0.19156988,0.14825603,0.19156988,0.16408,0.28085256
4,2,false,true,35,0.14825603,0.38444245,0.32867694,0.38444245,0.1703038,0.293204
4,3,false,true,35,0.1703038,0.28085256,0.19707924,0.23475304,1.0000002,0.30951652
4,4,false,true,35,0.32867694,0.23475304,0.038989417,0.2619191,0.18285769,0.16396447
4,5,false,true,35,0.19707924,0.2619191,0.293204,0.08085525,0.18983734,0.31420192
4,6,false,true,35,0.038989417,0.08085525,0.28312728,0.114827216,0.3024928,0.021766415
4,7,false,true,35,0.293204,0.114827216,0.2015672,0.28312728,0.28109178,0.10894695
4,8,false,true,35,1.0000002,0.293204,0.8718985,0.1757281,0.18574992,0.14626272
4,9,false,true,35,0.28312728,0.28312728,0.99999976,0.17369029,0.2381,0.21377833
4,10,false,true,35,0.2015672,0.1757281,0.07934933,0.3024928,0.16589895,0.18814495
5,1,false,true,34,0.08145886,0.16525358,0.13550839,0.16525358,0.08145886,0.41138816
5,2,false,true,34,0.074718416,0.41138816,0.12681155,0.54643893,0.074718416,0.20415565
5,3,false,true,34,0.13550839,0.54643893,0.26606175,0.22962713,0.14025939,0.10687074
5,4,false,true,34,0.14025939,0.20415565,0.09104371,0.63896275,0.4327963,0.17135581
5,5,false,true,34,0.12681155,0.22962713,0.13941099,0.042042684,0.15002146,0.100420386
5,6,false,true,34,0.4327963,0.10687074,0.1558377,0.21943396,0.2965383,0.25174537
5,7,false,true,34,0.26606175,0.63896275,0.25174537,0.13561143,0.99999994,0.25660008
5,8,false,true,34,0.09104371,0.042042684,0.22707409,0.23549849,0.31650925,0.14885631
5,9,false,true,34,0.13941099,0.21943396,1.0,0.22707409,0.15795763,0.14885631
5,10,false,true,34,0.1558377,0.13561143,0.29312924,0.15795763,0.13629878,0.16471507
6,1,true,true,18,0.08123191,0.07905684,0.2506319,0.07905684,0.08123191,1.0000001
6,2,true,true,18,0.2506319,0.16121365,0.22643125,0.16121365,0.2506319,0.2506319
6,3,true,true,18,0.2506319,1.0000001,0.10972335,0.3466049,0.16842666,0.293204
6,4,true,true,18,0.22643125,0.3466049,1.0000002,0.16494587,0.15837274,0.19342917
6,5,true,true,18,0.10972335,0.16494587,0.12494356,0.16842666,0.34140527,0.56936455
6,6,true,true,18,0.16842666,0.2506319,0.1731556,0.12494356,0.19637388,0.53238046
6,7,true,true,18,1.0000002,0.16842666,0.18661544,0.3482766,0.5636081,0.08445303
6,8,true,true,18,0.12494356,0.12494356,0.66893494,0.09228516,0.049048718,0.12781286
6,9,true,true,18,0.15837274,0.293204,0.085029505,0.18427056,0.45635527,0.19737798
6,10,true,true,18,0.1731556,0.3482766,0.8381369,0.082847506,0.19737798,0.13126895
7,1,true,true,69,0.058323156,0.28329122,0.26230124,0.28329122,0.058323156,0.19999
7,2,true,true,69,0.26230124,0.2619191,0.22548525,0.2619191,0.15265724,0.105685934
7,3,true,true,69,0.22548525,0.19404863,0.09384686,0.19404863,0.6807846,0.33426932
7,4,true,true,69,0.09384686,0.19999,0.1115129,0.4934426,0.1833246,0.13916454
7,5,true,true,69,0.15265724,0.4934426,0.105685934,0.1115129,0.03628946,0.23513192
7,6,true,true,69,0.1115129,0.105685934,0.27095878,0.100974225,0.14605117,0.1600194
7,7,true,true,69,0.6807846,0.1115129,0.42521262,0.17744127,0.4763832,0.1600194
7,8,true,true,69,0.105685934,0.100974225,0.12859271,0.15568273,0.17865588,1.0000001
7,9,true,true,69,0.27095878,0.33426932,0.09406776,0.04339047,0.1490829,0.2703125
7,10,true,true,69,0.1833246,0.13916454,0.5484046,0.2923932,0.36792693,0.23189135
8,1,false,false,51,0.06836956,0.085877426,0.22643125,0.085877426,0.06836956,0.22643125
8,2,false,false,51,0.22643125,0.08477511,0.1739529,0.08477511,0.15968387,0.12317476
8,3,false,false,51,0.1739529,0.15968387,0.04791145,0.15968387,0.3185585,0.16197175
8,4,false,false,51,0.15968387,0.22643125,0.17106625,0.47944412,0.4983902,0.6950845
8,5,false,false,51,0.04791145,0.47944412,0.16223216,0.017897446,0.7050829,0.0035782922
8,6,false,false,51,0.3185585,0.12317476,0.21068145,0.29273576,0.28104395,0.029219389
8,7,false,false,51,0.17106625,0.017897446,0.20768735,0.23697758,0.08917891,0.4117645
8,8,false,false,51,0.16223216,0.29273576,0.58000076,0.011294197,0.62879187,0.5079595
8,9,false,false,51,0.21068145,0.23697758,0.08548318,0.6936705,0.6200898,0.30389926
8,10,false,false,51,0.20768735,0.011294197,0.35672784,0.07466082,0.16066211,0.13258544
9,1,false,false,90,0.055550132,0.09142774,0.16468842,0.09142774,0.055550132,0.15613729
9,2,false,false,90,0.2615869,0.17446232,0.28646046,0.17446232,0.2615869,0.14017715
9,3,false,false,90,0.16468842,0.15613729,0.21545945,0.10370797,0.18626446,0.15599173
9,4,false,false,90,0.28646046,0.10370797,0.10941805,0.22448009,0.6726862,0.22860932
9,5,false,false,90,0.18626446,0.22448009,0.16046502,0.12854375,0.19258887,0.16116358
9,6,false,false,90,0.21545945,0.14017715,0.18175474,0.16109781,0.21822324,0.0967161
9,7,false,false,90,0.10941805,0.12854375,0.13036716,0.1820431,0.1837767,0.05995516
9,8,false,false,90,0.6726862,0.16109781,0.3690142,0.567657,0.06203133,0.06716935
