Global Index,EyeCon,Familiar,DevScore,OS,SS,OSg,SSg,OSf,SSf
0,false,true,78,0,0,0,0,0,0
1,false,true,204,0,0,0,0,4,0
2,true,true,40,4,0,4,0,0,0
3,true,true,53,0,0,0,0,0,0
4,false,true,35,0,0,0,0,0,0
5,false,true,34,0,0,0,0,0,0
6,true,true,18,1,1,0,0,0,7
7,true,true,69,0,0,0,0,0,0
8,false,false,51,8,0,4,0,5,0
9,false,false,90,4,0,3,0,0,1
10,true,false,44,0,0,0,0,0,0
11,true,false,104,0,0,0,0,0,0
12,false,false,41,0,0,0,0,0,0
13,false,false,99,0,0,0,0,0,0
14,true,false,20,4,0,1,0,0,0
15,true,false,19,0,0,0,0,0,1
16,false,true,105,7,0,0,0,4,0
17,false,true,114,0,0,0,0,0,0
18,true,true,56,0,0,0,0,0,0
19,true,true,45,0,0,0,0,0,0
20,false,true,139,0,0,0,0,0,0
21,false,true,99,1,0,0,0,0,0
22,true,true,55,0,0,0,0,0,0
23,true,true,42,0,0,0,0,0,0
24,false,false,74,0,0,0,0,0,0
25,false,false,83,0,0,0,0,0,0
26,true,false,75,1,0,0,0,0,0
27,true,false,45,0,0,0,0,0,0
28,false,false,21,0,0,0,0,0,0
29,false,false,37,0,0,0,0,0,0
30,true,false,28,0,0,0,0,0,0
31,true,false,20,0,0,0,1,0,0
32,false,true,64,9,0,0,0,9,0
33,false,true,201,0,0,0,0,0,0
34,true,true,29,0,0,0,0,0,0
35,true,true,90,0,0,0,0,0,0
36,false,true,17,0,0,0,0,0,0
37,false,true,65,0,0,0,0,0,0
38,true,true,108,0,0,0,0,0,0
39,true,true,28,1,0,0,0,0,0
40,false,false,83,5,0,0,0,0,0
41,false,false,56,0,0,0,0,0,0
42,true,false,161,0,0,0,0,0,0
43,true,false,108,2,0,1,0,0,0
44,false,false,178,0,0,0,0,0,0
45,false,false,52,0,0,0,0,0,0
46,true,false,52,0,0,0,0,0,0
47,true,false,145,0,0,0,0,0,0
48,false,true,157,1,0,0,0,0,0
49,false,true,56,9,0,9,0,0,0
50,true,true,104,1,0,0,0,0,0
51,true,true,35,6,0,3,0,0,0
52,false,true,34,6,0,1,0,1,0
53,false,true,26,0,0,0,0,0,0
54,true,true,48,5,0,3,0,0,0
55,true,true,53,0,0,0,0,0,0
56,false,false,25,9,0,8,0,1,0
57,false,false,112,9,2,9,2,0,0
58,true,false,54,3,0,0,0,0,0
59,true,false,76,9,0,9,0,1,0
60,false,false,40,0,0,0,0,4,0
61,false,false,62,1,0,1,0,0,0
62,true,false,47,1,0,2,0,0,0
63,true,false,49,8,0,7,0,2,0
64,true,true,135,9,0,1,0,8,0
65,true,true,227,0,0,0,0,0,0
66,false,true,74,0,0,0,0,0,0
67,false,true,152,2,0,0,0,7,0
68,true,true,105,9,0,2,0,9,0
69,true,true,53,0,0,0,0,0,0
70,false,true,104,0,0,0,0,0,0
71,false,true,85,0,0,0,0,0,0
72,true,false,120,7,0,6,0,1,0
73,true,false,97,1,0,0,0,5,0
74,false,false,105,0,0,0,0,0,0
75,false,false,142,2,0,0,0,2,0
76,true,false,66,0,0,0,0,0,0
77,true,false,89,0,0,0,1,0,0
78,false,false,28,1,0,0,0,0,0
79,false,false,58,0,0,0,0,0,0
80,true,true,140,0,0,1,0,0,0
81,true,true,191,9,0,9,0,7,0
82,false,true,28,0,0,0,0,0,0
83,false,true,154,0,0,0,0,0,0
84,true,true,20,0,0,0,0,0,0
85,true,true,89,9,0,6,0,5,0
86,false,true,57,0,0,0,0,0,0
87,false,true,37,0,0,0,0,0,0
88,true,false,204,9,0,0,0,9,0
89,true,false,117,0,0,0,0,1,0
90,false,false,11,2,0,0,0,2,0
91,false,false,73,0,0,0,0,0,0
92,true,false,26,0,0,0,0,0,0
93,true,false,49,1,0,0,0,3,0
94,false,false,43,0,0,0,0,0,0
95,false,false,30,0,0,0,0,0,0
96,true,true,146,8,0,1,0,7,0
97,true,true,187,9,0,9,2,9,0
98,false,true,66,0,0,2,0,0,0
99,false,true,4,0,0,0,0,0,0
100,true,true,28,0,0,0,0,0,0
101,true,true,38,0,0,0,0,0,0
102,false,true,154,0,0,0,0,0,0
103,false,true,102,5,0,0,0,1,0
104,true,false,38,0,0,0,0,0,0
105,true,false,81,1,0,0,0,0,0
106,false,false,97,0,0,0,2,0,0
107,false,false,35,0,0,0,0,0,0
108,true,false,60,1,0,0,0,0,0
109,true,false,32,0,0,0,0,0,0
110,false,false,54,0,0,0,0,0,0
111,false,false,67,0,0,0,0,0,0
112,true,true,86,9,0,2,0,6,0
113,true,true,7,0,0,0,0,0,0
114,false,true,27,0,0,0,0,0,0
115,false,true,57,7,0,1,0,9,1
116,true,true,24,0,0,0,0,0,0
117,true,true,7,0,0,0,0,0,0
118,false,true,27,2,0,1,0,0,0
119,false,true,38,0,0,0,0,0,0
120,true,false,37,0,0,0,0,0,0
121,true,false,135,0,0,0,0,0,0
122,false,false,11,0,0,0,0,0,0
123,false,false,54,0,0,0,0,0,0
124,true,false,25,0,0,0,0,0,0
125,true,false,47,0,0,0,0,0,0
126,false,false,43,0,0,0,0,0,0
127,false,false,19,0,0,0,1,0,0
