Corpus,DialID,Speakers,Level,M1,M2,M3,M4,DevScore,Time,EyeContact,Fam,Gender,Partner,OSPValue,SSPValue,OSPValueN1,SSPValueN1,OSPvalueN2,SSPvalueN2,TaskFam
AEMT,aemt01,IG,1,81,91,120,110,0,05:12:00,n,F,F,F,0.0552,0.01,0.9817,0.0282,0.01,0.01,1
AEMT,aemt01,IF,1,81,91,120,110,0,05:12:00,n,F,F,F,0.01,0.7864,0.0265,0.968,0.01,0.7985,1
AEMT,aemt01,IG,2,81,91,120,110,0,05:12:00,n,F,F,F,0.5878,0.01,1,0.3016,0.01,0.01,1
AEMT,aemt01,IF,2,81,91,120,110,0,05:12:00,n,F,F,F,0.01,0.8219,0.0148,0.96,0.01,0.9524,1
AEMT,aemt01,IG,3,81,91,120,110,0,05:12:00,n,F,F,F,0.033,0.01,0.9921,0.01,0.01,0.01,1
AEMT,aemt01,IF,3,81,91,120,110,0,05:12:00,n,F,F,F,0.01,0.9172,0.0885,0.9831,0.01,0.9938,1
AEMT,aemt01,IG,4,81,91,120,110,0,05:12:00,n,F,F,F,1,0.01,1,0.9199,1,0.01,1
AEMT,aemt01,IF,4,81,91,120,110,0,05:12:00,n,F,F,F,0.01,0.9289,0.0307,0.9995,0.01,0.6114,1
AEMT,aemt01,IG,5,81,91,120,110,0,05:12:00,n,F,F,F,0.2,0.01,0.9987,0.0716,0.01,0.01,1
AEMT,aemt01,IF,5,81,91,120,110,0,05:12:00,n,F,F,F,0.01,1,0.4514,1,0.01,0.9999,1
AEMT,aemt02,IG,1,140,162,209,187,0,08:46:00,n,F,F,F,0.01,0.01,0.1894,0.4472,0.01,0.01,1
AEMT,aemt02,IF,1,140,162,209,187,0,08:46:00,n,F,F,F,0.01,0.01,0.28,0.01,0.01,0.01,1
AEMT,aemt02,IG,2,140,162,209,187,0,08:46:00,n,F,F,F,0.01,0.01,0.01,0.3371,0.01,0.01,1
AEMT,aemt02,IF,2,140,162,209,187,0,08:46:00,n,F,F,F,0.01,0.01,0.3435,0.0697,0.01,0.01,1
AEMT,aemt02,IG,3,140,162,209,187,0,08:46:00,n,F,F,F,0.01,0.01,0.01,0.0735,0.01,0.01,1
AEMT,aemt02,IF,3,140,162,209,187,0,08:46:00,n,F,F,F,0.01,0.01,0.4315,0.01,0.01,0.01,1
AEMT,aemt02,IG,4,140,162,209,187,0,08:46:00,n,F,F,F,0.01,0.6056,0.5021,1,0.01,0.01,1
AEMT,aemt02,IF,4,140,162,209,187,0,08:46:00,n,F,F,F,0.2039,0.01,1,0.3105,0.01,0.01,1
AEMT,aemt02,IG,5,140,162,209,187,0,08:46:00,n,F,F,F,0.01,0.01,0.01,0.1357,0.01,0.01,1
AEMT,aemt02,IF,5,140,162,209,187,0,08:46:00,n,F,F,F,0.01,0.01,0.0152,0.01,0.01,0.01,1
