Speaker	GlobalIndex	StartTime	StopTime	Tokens	NGrams	SelfShared	OtherShared	N	OverlapCount	OverlapSeconds	AvgOverlap	DialID	Reality	Level
g	0	0:1:10	0:1:14	8	8	0	0	1	0	0	0	aemt01	9	2
f	1	0:2:13	0:2:14	1	1	0	0	1	0	0	0	aemt01	9	2
g	2	0:3:52	0:3:53	1	1	0	0	1	0	0	0	aemt01	9	2
f	3	0:5:47	0:5:54	3	3	0	0	1	0	0	0	aemt01	9	2
g	4	0:7:48	0:7:50	11	11	0	4	1	0	0	0	aemt01	9	2
g	5	0:8:24	0:8:31	13	13	0	0	1	0	0	0	aemt01	9	2
g	6	0:10:10	0:10:19	5	5	1	0	1	0	0	0	aemt01	9	2
f	7	0:14:48	0:14:51	10	10	2	1	1	0	0	0	aemt01	9	2
g	8	0:15:2	0:15:8	6	6	1	1	1	0	0	0	aemt01	9	2
f	9	0:15:30	0:15:30	7	7	2	1	1	0	0	0	aemt01	9	2
g	10	0:17:34	0:17:38	5	5	0	2	1	0	0	0	aemt01	9	2
f	11	0:19:21	0:19:26	2	2	0	0	1	0	0	0	aemt01	9	2
g	12	0:20:32	0:20:32	9	9	1	0	1	0	0	0	aemt01	9	2
f	13	0:21:0	0:21:1	15	15	2	5	1	0	0	0	aemt01	9	2
g	14	0:22:23	0:22:31	14	14	4	4	1	0	0	0	aemt01	9	2
g	15	0:23:37	0:23:37	1	1	0	0	1	0	0	0	aemt01	9	2
f	16	0:26:28	0:26:28	16	16	8	0	1	0	0	0	aemt01	9	2
g	17	0:27:44	0:27:52	1	1	0	0	1	0	0	0	aemt01	9	2
g	18	0:29:38	0:29:38	1	1	0	0	1	0	0	0	aemt01	9	2
g	19	0:29:51	0:29:55	15	15	0	6	1	0	0	0	aemt01	9	2
f	20	0:33:16	0:33:19	6	6	1	2	1	0	0	0	aemt01	9	2
g	21	0:34:0	0:34:3	7	7	2	1	1	0	0	0	aemt01	9	2
g	22	0:34:51	0:34:57	4	4	1	0	1	0	0	0	aemt01	9	2
f	23	0:39:40	0:39:40	1	1	0	0	1	0	0	0	aemt01	9	2
f	25	0:39:53	0:39:59	1	1	0	0	1	0	0	0	aemt01	9	2
g	24	0:39:58	0:39:58	2	2	1	0	1	1	1	1	aemt01	9	2
f	26	0:41:42	0:41:48	5	5	0	0	1	0	0	0	aemt01	9	2
g	27	0:41:50	0:41:53	4	4	0	1	1	0	0	0	aemt01	9	2
f	28	0:42:16	0:42:21	11	11	1	1	1	0	0	0	aemt01	9	2
f	29	0:42:32	0:42:36	5	5	1	0	1	0	0	0	aemt01	9	2
f	30	0:42:58	0:43:7	11	11	1	2	1	0	0	0	aemt01	9	2
g	31	0:43:14	0:43:19	1	1	0	0	1	0	0	0	aemt01	9	2
g	32	0:44:30	0:44:34	2	2	0	0	1	0	0	0	aemt01	9	2
f	33	0:45:25	0:45:30	7	7	1	1	1	0	0	0	aemt01	9	2
g	34	0:46:49	0:46:55	8	8	0	1	1	0	0	0	aemt01	9	2
g	35	0:49:32	0:49:38	7	7	1	1	1	0	0	0	aemt01	9	2
f	36	0:50:14	0:50:20	1	1	0	1	1	0	0	0	aemt01	9	2
f	37	0:50:48	0:50:52	1	1	0	0	1	0	0	0	aemt01	9	2
f	38	0:53:28	0:53:35	1	1	0	1	1	0	0	0	aemt01	9	2
f	39	0:53:53	0:53:57	1	1	1	1	1	0	0	0	aemt01	9	2
g	40	0:54:58	0:55:6	1	1	0	0	1	0	0	0	aemt01	9	2
g	41	0:57:53	0:57:56	10	10	0	0	1	0	0	0	aemt01	9	2
f	42	0:59:47	0:59:56	1	1	0	0	1	0	0	0	aemt01	9	2
g	43	1:0:39	1:0:45	4	4	1	0	1	0	0	0	aemt01	9	2
g	44	1:1:31	1:1:37	11	11	0	0	1	0	0	0	aemt01	9	2
f	45	1:4:39	1:4:43	1	1	0	0	1	0	0	0	aemt01	9	2
f	46	1:6:5	1:6:7	3	3	0	0	1	0	0	0	aemt01	9	2
f	47	1:7:25	1:7:34	1	1	0	0	1	0	0	0	aemt01	9	2
f	48	1:8:50	1:8:52	2	2	0	0	1	0	0	0	aemt01	9	2
g	49	1:10:1	1:10:9	4	4	2	0	1	0	0	0	aemt01	9	2
g	50	1:11:3	1:11:3	15	15	0	0	1	0	0	0	aemt01	9	2
g	51	1:19:6	1:19:9	1	1	0	0	1	0	0	0	aemt01	9	2
g	52	1:19:40	1:19:48	11	11	0	0	1	0	0	0	aemt01	9	2
f	53	1:22:17	1:22:18	1	1	0	0	1	0	0	0	aemt01	9	2
f	54	1:23:53	1:23:54	4	4	0	1	1	0	0	0	aemt01	9	2
f	55	1:25:18	1:25:22	1	1	0	0	1	0	0	0	aemt01	9	2
f	56	1:27:3	1:27:8	1	1	0	0	1	0	0	0	aemt01	9	2
f	57	1:27:55	1:27:59	7	7	1	1	1	0	0	0	aemt01	9	2
g	58	1:28:12	1:28:14	3	3	0	2	1	0	0	0	aemt01	9	2
g	59	1:30:27	1:30:32	6	6	1	1	1	0	0	0	aemt01	9	2
g	60	1:34:29	1:34:30	8	8	1	2	1	0	0	0	aemt01	9	2
g	61	1:34:42	1:34:49	2	2	0	0	1	0	0	0	aemt01	9	2
f	62	1:34:50	1:34:55	1	1	1	0	1	0	0	0	aemt01	9	2
f	63	1:35:19	1:35:28	1	1	1	0	1	0	0	0	aemt01	9	2
g	64	1:38:20	1:38:24	6	6	0	0	1	0	0	0	aemt01	9	2
g	65	1:38:37	1:38:44	2	2	1	0	1	0	0	0	aemt01	9	2
g	66	1:40:34	1:40:35	15	15	1	0	1	0	0	0	aemt01	9	2
g	67	1:40:47	1:40:50	10	10	7	0	1	0	0	0	aemt01	9	2
g	68	1:41:44	1:41:46	1	1	0	0	1	0	0	0	aemt01	9	2
f	69	1:42:44	1:42:46	6	6	0	0	1	0	0	0	aemt01	9	2
f	70	1:45:1	1:45:9	10	10	4	0	1	0	0	0	aemt01	9	2
f	71	1:47:9	1:47:15	7	7	0	0	1	0	0	0	aemt01	9	2
g	72	1:51:38	1:51:39	9	9	0	3	1	0	0	0	aemt01	9	2
g	73	1:53:6	1:53:8	1	1	0	0	1	0	0	0	aemt01	9	2
g	74	1:53:16	1:53:23	1	1	0	0	1	0	0	0	aemt01	9	2
f	75	1:55:10	1:55:15	5	5	1	0	1	0	0	0	aemt01	9	2
g	76	1:58:24	1:58:32	1	1	0	0	1	0	0	0	aemt01	9	2
g	77	1:59:43	1:59:43	5	5	0	1	1	0	0	0	aemt01	9	2
g	78	2:1:57	2:2:5	5	5	1	2	1	0	0	0	aemt01	9	2
f	79	2:2:1	2:2:5	1	1	0	0	1	1	4	4	aemt01	9	2
f	80	2:2:26	2:2:26	3	3	1	2	1	0	0	0	aemt01	9	2
g	81	2:2:46	2:2:53	3	3	0	0	1	0	0	0	aemt01	9	2
g	82	2:3:41	2:3:50	5	5	0	1	1	0	0	0	aemt01	9	2
g	83	2:5:45	2:5:49	1	1	1	1	1	0	0	0	aemt01	9	2
f	84	2:6:28	2:6:32	7	7	0	0	1	0	0	0	aemt01	9	2
g	85	2:9:15	2:9:22	6	6	0	1	1	0	0	0	aemt01	9	2
g	86	2:9:43	2:9:46	4	4	1	0	1	0	0	0	aemt01	9	2
g	87	2:9:44	2:9:48	6	6	0	1	1	0	0	0	aemt01	9	2
g	88	2:9:54	2:10:3	11	11	2	2	1	0	0	0	aemt01	9	2
g	89	2:10:20	2:10:28	6	6	1	0	1	0	0	0	aemt01	9	2
g	90	2:10:49	2:10:49	1	1	0	0	1	0	0	0	aemt01	9	2
g	91	2:11:8	2:11:13	10	10	0	3	1	0	0	0	aemt01	9	2
f	92	2:13:11	2:13:16	2	2	0	0	1	0	0	0	aemt01	9	2
g	93	2:14:10	2:14:16	10	10	3	0	1	0	0	0	aemt01	9	2
g	94	2:17:23	2:17:29	4	4	1	0	1	0	0	0	aemt01	9	2
g	95	2:18:27	2:18:28	3	3	1	0	1	0	0	0	aemt01	9	2
g	96	2:18:27	2:18:34	7	7	2	0	1	0	0	0	aemt01	9	2
f	97	2:19:40	2:19:47	1	1	0	0	1	0	0	0	aemt01	9	2
g	98	2:22:20	2:22:23	1	1	0	1	1	0	0	0	aemt01	9	2
g	99	2:22:26	2:22:33	5	5	0	0	1	0	0	0	aemt01	9	2
g	100	2:26:12	2:26:19	11	11	1	0	1	0	0	0	aemt01	9	2
g	101	2:27:20	2:27:21	3	3	1	0	1	0	0	0	aemt01	9	2
g	102	2:30:1	2:30:9	6	6	0	1	1	0	0	0	aemt01	9	2
f	103	2:31:8	2:31:13	1	1	0	0	1	0	0	0	aemt01	9	2
f	104	2:32:36	2:32:43	1	1	1	0	1	0	0	0	aemt01	9	2
f	105	2:33:4	2:33:5	1	1	0	1	1	0	0	0	aemt01	9	2
g	106	2:33:12	2:33:14	1	1	1	1	1	0	0	0	aemt01	9	2
g	107	2:33:43	2:33:51	6	6	0	0	1	0	0	0	aemt01	9	2
f	108	2:35:34	2:35:40	1	1	0	0	1	0	0	0	aemt01	9	2
f	109	2:35:43	2:35:43	14	14	0	0	1	0	0	0	aemt01	9	2
f	110	2:35:54	2:35:55	1	1	0	0	1	0	0	0	aemt01	9	2
g	111	2:35:58	2:36:5	21	21	1	0	1	0	0	0	aemt01	9	2
f	112	2:38:8	2:38:15	1	1	1	0	1	0	0	0	aemt01	9	2
g	113	2:38:20	2:38:23	2	2	0	0	1	0	0	0	aemt01	9	2
g	114	2:40:34	2:40:43	1	1	0	0	1	0	0	0	aemt01	9	2
g	115	2:41:35	2:41:43	1	1	0	1	1	0	0	0	aemt01	9	2
g	116	2:42:17	2:42:26	12	12	0	0	1	0	0	0	aemt01	9	2
g	117	2:43:7	2:43:10	6	6	1	0	1	0	0	0	aemt01	9	2
g	118	2:43:36	2:43:36	14	14	2	0	1	0	0	0	aemt01	9	2
g	119	2:47:32	2:47:37	8	8	3	0	1	0	0	0	aemt01	9	2
f	120	2:48:4	2:48:12	1	1	0	0	1	0	0	0	aemt01	9	2
f	121	2:48:45	2:48:45	1	1	0	0	1	0	0	0	aemt01	9	2
g	122	2:49:15	2:49:15	5	5	1	0	1	0	0	0	aemt01	9	2
f	123	2:50:15	2:50:16	1	1	0	0	1	0	0	0	aemt01	9	2
f	124	2:51:47	2:51:53	1	1	0	0	1	0	0	0	aemt01	9	2
f	125	2:54:16	2:54:25	1	1	1	0	1	0	0	0	aemt01	9	2
f	126	2:54:29	2:54:33	1	1	1	0	1	0	0	0	aemt01	9	2
f	127	2:55:44	2:55:49	3	3	0	1	1	0	0	0	aemt01	9	2
f	128	2:56:14	2:56:19	5	5	0	0	1	0	0	0	aemt01	9	2
g	129	2:57:47	2:57:48	5	5	0	1	1	0	0	0	aemt01	9	2
f	130	2:58:6	2:58:7	1	1	0	0	1	0	0	0	aemt01	9	2
g	131	2:59:17	2:59:21	4	4	0	0	1	0	0	0	aemt01	9	2
f	132	2:59:28	2:59:36	1	1	0	0	1	0	0	0	aemt01	9	2
f	133	2:59:48	2:59:51	1	1	1	0	1	0	0	0	aemt01	9	2
g	134	3:0:52	3:0:57	8	8	2	0	1	0	0	0	aemt01	9	2
g	135	3:1:2	3:1:5	8	8	4	0	1	0	0	0	aemt01	9	2
f	136	3:1:8	3:1:15	9	9	0	1	1	0	0	0	aemt01	9	2
g	137	3:1:41	3:1:49	16	16	4	4	1	0	0	0	aemt01	9	2
g	138	3:3:13	3:3:14	10	10	4	4	1	0	0	0	aemt01	9	2
g	139	3:5:26	3:5:31	1	1	0	0	1	0	0	0	aemt01	9	2
f	140	3:8:35	3:8:42	9	9	0	0	1	0	0	0	aemt01	9	2
g	141	3:8:52	3:8:53	4	4	0	0	1	0	0	0	aemt01	9	2
f	142	3:9:29	3:9:30	6	6	1	2	1	0	0	0	aemt01	9	2
f	143	3:14:35	3:14:43	1	1	0	0	1	0	0	0	aemt01	9	2
f	144	3:14:35	3:14:44	1	1	0	0	1	0	0	0	aemt01	9	2
f	145	3:15:5	3:15:9	1	1	0	0	1	0	0	0	aemt01	9	2
g	146	3:15:15	3:15:19	1	1	0	1	1	0	0	0	aemt01	9	2
f	147	3:17:36	3:17:41	4	4	1	1	1	0	0	0	aemt01	9	2
g	148	3:18:22	3:18:29	1	1	1	1	1	0	0	0	aemt01	9	2
g	149	3:19:26	3:19:27	7	7	0	2	1	0	0	0	aemt01	9	2
g	150	3:20:29	3:20:36	17	17	5	6	1	0	0	0	aemt01	9	2
g	151	3:21:2	3:21:9	14	14	5	2	1	0	0	0	aemt01	9	2
g	152	3:21:32	3:21:35	1	1	0	0	1	0	0	0	aemt01	9	2
f	153	3:21:33	3:21:36	1	1	1	0	1	1	2	2	aemt01	9	2
f	154	3:25:3	3:25:8	1	1	1	0	1	0	0	0	aemt01	9	2
f	155	3:26:21	3:26:21	5	5	0	0	1	0	0	0	aemt01	9	2
f	156	3:26:59	3:26:59	2	2	0	0	1	0	0	0	aemt01	9	2
f	157	3:27:25	3:27:27	2	2	0	0	1	0	0	0	aemt01	9	2
f	158	3:27:33	3:27:36	5	5	0	0	1	0	0	0	aemt01	9	2
f	160	3:28:32	3:28:35	1	1	0	0	1	0	0	0	aemt01	9	2
g	159	3:28:32	3:28:32	1	1	0	0	1	1	0	0	aemt01	9	2
f	161	3:28:59	3:29:5	7	7	0	0	1	0	0	0	aemt01	9	2
f	162	3:29:10	3:29:14	9	9	1	1	1	0	0	0	aemt01	9	2
g	163	3:31:19	3:31:23	1	1	0	1	1	0	0	0	aemt01	9	2
f	164	3:33:16	3:33:24	5	5	0	0	1	0	0	0	aemt01	9	2
g	165	3:34:3	3:34:3	6	6	0	1	1	0	0	0	aemt01	9	2
g	166	3:34:53	3:34:55	9	9	3	0	1	0	0	0	aemt01	9	2
g	167	3:35:9	3:35:17	1	1	0	0	1	0	0	0	aemt01	9	2
f	168	3:36:34	3:36:39	2	2	0	0	1	0	0	0	aemt01	9	2
f	169	3:38:1	3:38:8	1	1	0	0	1	0	0	0	aemt01	9	2
g	170	3:40:7	3:40:11	5	5	0	0	1	0	0	0	aemt01	9	2
f	171	3:41:15	3:41:15	1	1	1	0	1	0	0	0	aemt01	9	2
f	172	3:41:17	3:41:19	3	3	1	0	1	0	0	0	aemt01	9	2
g	173	3:42:45	3:42:45	1	1	0	0	1	0	0	0	aemt01	9	2
g	174	3:43:16	3:43:22	9	9	0	1	1	0	0	0	aemt01	9	2
g	175	3:43:59	3:44:5	8	8	2	1	1	0	0	0	aemt01	9	2
g	176	3:47:9	3:47:14	1	1	0	0	1	0	0	0	aemt01	9	2
g	177	3:47:22	3:47:23	9	9	0	1	1	0	0	0	aemt01	9	2
f	178	3:48:40	3:48:44	1	1	0	0	1	0	0	0	aemt01	9	2
f	179	3:48:53	3:48:59	11	11	0	3	1	0	0	0	aemt01	9	2
g	180	3:53:6	3:53:13	1	1	0	0	1	0	0	0	aemt01	9	2
g	181	3:53:27	3:53:33	7	7	0	2	1	0	0	0	aemt01	9	2
f	182	3:55:42	3:55:42	1	1	0	0	1	0	0	0	aemt01	9	2
g	183	3:56:33	3:56:34	3	3	1	0	1	0	0	0	aemt01	9	2
g	184	3:58:8	3:58:14	3	3	1	0	1	0	0	0	aemt01	9	2
f	185	3:58:16	3:58:23	1	1	1	0	1	0	0	0	aemt01	9	2
f	186	3:59:10	3:59:10	1	1	0	0	1	0	0	0	aemt01	9	2
f	187	4:1:46	4:1:54	1	1	1	0	1	0	0	0	aemt01	9	2
g	188	4:1:58	4:2:4	3	3	0	0	1	0	0	0	aemt01	9	2
g	190	4:2:31	4:2:40	1	1	0	0	1	0	0	0	aemt01	9	2
