Speaker	GlobalIndex	StartTime	StopTime	Tokens	NGrams	SelfShared	OtherShared	N	OverlapCount	OverlapSeconds	AvgOverlap	Day	Reality
f	0	0:1:38	0:1:38	1	1	0	0	1	0	0	0	1	9
f	1	0:5:21	0:5:30	1	1	1	0	1	0	0	0	1	9
g	2	0:7:33	0:7:34	10	10	0	0	1	0	0	0	1	9
g	3	0:7:31	0:7:38	11	11	2	0	1	0	0	0	1	9
f	4	0:7:58	0:7:59	1	1	0	0	1	0	0	0	1	9
f	5	0:8:29	0:8:38	1	1	0	0	1	0	0	0	1	9
g	6	0:9:49	0:9:51	5	5	2	0	1	0	0	0	1	9
g	7	0:10:7	0:10:7	4	4	2	0	1	0	0	0	1	9
f	8	0:10:22	0:10:23	1	1	0	0	1	0	0	0	1	9
g	9	0:11:28	0:11:35	1	1	0	0	1	0	0	0	1	9
g	10	0:12:39	0:12:47	1	1	0	0	1	0	0	0	1	9
f	11	0:14:15	0:14:20	1	1	0	0	1	0	0	0	1	9
f	12	0:14:41	0:14:45	5	5	0	0	1	0	0	0	1	9
f	13	0:14:48	0:14:49	1	1	0	1	1	0	0	0	1	9
g	14	0:16:38	0:16:45	1	1	1	1	1	0	0	0	1	9
f	15	0:20:2	0:20:5	1	1	1	1	1	0	0	0	1	9
g	16	0:21:53	0:21:58	14	14	0	0	1	0	0	0	1	9
f	17	0:22:7	0:22:14	7	7	0	3	1	0	0	0	1	9
f	18	0:27:18	0:27:18	3	3	1	1	1	0	0	0	1	9
g	19	0:29:24	0:29:29	6	6	1	1	1	0	0	0	1	9
f	20	0:29:50	0:29:51	1	1	0	0	1	0	0	0	1	9
f	21	0:30:0	0:30:8	1	1	0	0	1	0	0	0	1	9
g	22	0:31:27	0:31:29	9	9	1	0	1	0	0	0	1	9
g	23	0:35:28	0:35:32	7	7	1	0	1	0	0	0	1	9
f	24	0:36:58	0:37:1	5	5	0	1	1	0	0	0	1	9
g	25	0:38:38	0:38:42	7	7	1	1	1	0	0	0	1	9
g	26	0:38:54	0:38:57	7	7	2	2	1	0	0	0	1	9
f	27	0:39:7	0:39:14	1	1	0	0	1	0	0	0	1	9
f	28	0:39:37	0:39:39	1	1	0	0	1	0	0	0	1	9
g	29	0:40:23	0:40:28	3	3	0	0	1	0	0	0	1	9
g	30	0:41:19	0:41:20	4	4	0	0	1	0	0	0	1	9
g	31	0:42:9	0:42:13	11	11	0	0	1	0	0	0	1	9
g	32	0:43:1	0:43:8	4	4	0	0	1	0	0	0	1	9
f	33	0:45:46	0:45:54	6	6	0	0	1	0	0	0	1	9
g	34	0:46:31	0:46:35	1	1	0	0	1	0	0	0	1	9
f	35	0:48:24	0:48:25	1	1	0	1	1	0	0	0	1	9
g	36	0:49:5	0:49:12	4	4	0	0	1	0	0	0	1	9
g	37	0:50:55	0:51:1	11	11	1	0	1	0	0	0	1	9
g	38	0:51:47	0:51:51	8	8	0	0	1	0	0	0	1	9
g	39	0:53:4	0:53:11	16	16	0	0	1	0	0	0	1	9
g	40	0:54:59	0:55:7	3	3	0	0	1	0	0	0	1	9
f	41	0:56:29	0:56:32	7	7	1	0	1	0	0	0	1	9
f	42	1:0:24	1:0:25	5	5	2	0	1	0	0	0	1	9
f	43	1:1:33	1:1:42	1	1	0	0	1	0	0	0	1	9
f	44	1:2:3	1:2:10	1	1	0	0	1	0	0	0	1	9
g	45	1:2:39	1:2:48	1	1	0	0	1	0	0	0	1	9
f	46	1:2:51	1:2:57	1	1	0	0	1	0	0	0	1	9
g	47	1:3:24	1:3:25	6	6	0	0	1	0	0	0	1	9
f	48	1:3:50	1:3:53	3	3	0	0	1	0	0	0	1	9
g	49	1:6:34	1:6:43	3	3	0	0	1	0	0	0	1	9
f	50	1:7:0	1:7:8	1	1	0	0	1	0	0	0	1	9
