Speaker	GlobalIndex	StartTime	StopTime	Tokens	NGrams	SelfShared	OtherShared	N	OverlapCount	OverlapSeconds	AvgOverlap	Day	Reality
g	0	0:2:16	0:2:23	5	5	0	0	1	0	0	0	1	9
f	1	0:4:19	0:4:25	1	1	0	1	1	0	0	0	1	9
f	2	0:4:54	0:4:55	1	1	0	0	1	0	0	0	1	9
g	3	0:6:4	0:6:8	7	7	1	0	1	0	0	0	1	9
g	4	0:6:51	0:6:55	3	3	0	0	1	0	0	0	1	9
f	5	0:11:4	0:11:5	1	1	0	0	1	0	0	0	1	9
f	6	0:14:52	0:14:56	5	5	0	0	1	0	0	0	1	9
g	7	0:15:44	0:15:51	8	8	0	0	1	0	0	0	1	9
g	8	0:16:44	0:16:49	8	8	2	0	1	0	0	0	1	9
g	9	0:17:6	0:17:15	14	14	2	1	1	0	0	0	1	9
f	10	0:18:42	0:18:44	2	2	0	0	1	0	0	0	1	9
g	11	0:18:58	0:19:1	4	4	2	0	1	0	0	0	1	9
f	12	0:19:19	0:19:20	1	1	0	0	1	0	0	0	1	9
g	13	0:20:18	0:20:23	2	2	0	0	1	0	0	0	1	9
g	14	0:20:47	0:20:54	1	1	0	0	1	0	0	0	1	9
g	15	0:21:20	0:21:21	1	1	0	0	1	0	0	0	1	9
f	16	0:23:9	0:23:18	1	1	1	0	1	0	0	0	1	9
f	17	0:24:8	0:24:13	2	2	0	0	1	0	0	0	1	9
f	18	0:24:20	0:24:23	7	7	0	0	1	0	0	0	1	9
f	19	0:26:46	0:26:54	1	1	1	0	1	0	0	0	1	9
g	20	0:27:35	0:27:43	10	10	0	0	1	0	0	0	1	9
g	21	0:29:13	0:29:16	7	7	0	1	1	0	0	0	1	9
g	22	0:30:14	0:30:21	1	1	0	0	1	0	0	0	1	9
g	23	0:31:2	0:31:9	1	1	0	1	1	0	0	0	1	9
f	24	0:33:3	0:33:12	1	1	1	1	1	0	0	0	1	9
g	25	0:34:53	0:34:59	1	1	1	1	1	0	0	0	1	9
f	26	0:36:52	0:36:58	9	9	0	0	1	0	0	0	1	9
g	27	0:37:1	0:37:8	1	1	0	0	1	0	0	0	1	9
f	28	0:39:0	0:39:3	12	12	0	0	1	0	0	0	1	9
g	29	0:43:0	0:43:8	5	5	0	2	1	0	0	0	1	9
g	30	0:43:12	0:43:13	1	1	0	0	1	0	0	0	1	9
g	31	0:43:44	0:43:47	3	3	0	1	1	0	0	0	1	9
f	32	0:45:56	0:46:4	15	15	5	2	1	0	0	0	1	9
g	33	0:47:39	0:47:45	16	16	3	5	1	0	0	0	1	9
f	34	0:48:48	0:48:54	1	1	0	0	1	0	0	0	1	9
g	35	0:50:57	0:51:3	6	6	2	0	1	0	0	0	1	9
g	36	0:51:14	0:51:23	5	5	4	0	1	0	0	0	1	9
g	37	0:53:58	0:54:5	11	11	3	0	1	0	0	0	1	9
f	38	0:55:4	0:55:5	1	1	1	0	1	0	0	0	1	9
f	39	0:55:5	0:55:6	3	3	0	2	1	0	0	0	1	9
g	40	0:56:20	0:56:22	10	10	3	1	1	0	0	0	1	9
g	41	0:56:31	0:56:31	1	1	0	0	1	0	0	0	1	9
f	42	0:56:37	0:56:43	1	1	0	0	1	0	0	0	1	9
f	43	0:58:51	0:58:54	1	1	0	0	1	0	0	0	1	9
